,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2019 12 12 01 00,40,6,9,1,0,1
2019 12 12 02 00,40,6,7,1,1,2
2019 12 12 03 00,61,3,7,0,0,0
2019 12 12 04 00,0,2,0,0,1,1
2019 12 12 05 00,4,3,0,1,1,2
2019 12 12 06 00,4,3,0,1,1,2
2019 12 12 07 00,4,3,0,1,1,2
2019 12 12 08 00,4,3,0,1,1,2
2019 12 12 09 00,0,2,0,0,1,1
2019 12 12 10 00,0,1,0,1,1,2
2019 12 12 11 00,0,1,0,1,1,2
2019 12 12 12 00,0,2,0,0,1,1
2019 12 12 13 00,0,1,0,1,1,2
2019 12 12 14 00,0,1,0,1,1,2
2019 12 12 15 00,0,1,0,1,1,2
2019 12 12 16 00,0,1,0,1,1,2
2019 12 12 17 00,4,3,0,1,1,2
2019 12 12 18 00,4,3,0,1,1,2
2019 12 12 19 00,4,3,0,1,1,2
2019 12 12 20 00,4,3,0,1,1,2
2019 12 12 21 00,40,6,9,1,0,1
2019 12 12 22 00,40,6,13,1,0,1
2019 12 12 23 00,40,6,9,1,0,1
2019 12 13 00 00,4,3,7,1,0,1
2019 12 13 01 00,4,3,0,1,1,2
2019 12 13 02 00,40,6,7,1,1,2
2019 12 13 03 00,51,6,9,1,1,2
2019 12 13 04 00,51,6,27,1,0,1
2019 12 13 05 00,40,6,13,1,0,1
2019 12 13 06 00,40,6,7,1,1,2
2019 12 13 07 00,40,6,9,1,0,1
2019 12 13 08 00,52,6,27,0,0,0
2019 12 13 09 00,4,6,9,0,0,0
2019 12 13 10 00,40,3,7,0,1,1
2019 12 13 11 00,40,3,7,0,1,1
2019 12 13 12 00,4,3,7,1,0,1
2019 12 13 13 00,40,3,7,0,1,1
2019 12 13 14 00,40,3,13,0,0,0
2019 12 13 15 00,4,3,0,1,1,2
2019 12 13 16 00,4,3,7,1,0,1
2019 12 13 17 00,40,6,7,1,1,2
2019 12 13 18 00,40,3,7,0,1,1
2019 12 13 19 00,4,3,0,1,1,2
2019 12 13 20 00,4,3,0,1,1,2
2019 12 13 21 00,4,3,0,1,1,2
2019 12 13 22 00,51,6,9,1,1,2
2019 12 13 23 00,40,6,7,1,1,2
2019 12 14 00 00,40,6,7,1,1,2
