Codes W1,0,1,2,3,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,28
0,0,3.35,4.47,5.59,10.11,11.22,1.00,14.54,2.18,4.35,7.25,2.20,4.38,4.36,7.26,2.42,4.49,4.48,2.43,4.49,13.45,5.45,14.57
1,3.35,0,1.12,2.24,6.78,7.89,3.50,14.93,4.00,5.49,7.99,4.01,5.51,5.50,8.00,4.13,5.60,5.60,4.14,5.60,13.86,6.40,14.95
2,4.47,1.12,0,1.12,5.68,6.78,4.58,15.22,4.97,6.24,8.52,4.98,6.26,6.24,8.53,5.08,6.34,6.33,5.09,6.34,14.17,7.05,15.24
3,5.59,2.24,1.12,0,4.58,5.68,5.68,15.58,6.00,7.08,9.15,6.01,7.10,7.09,9.16,6.09,7.17,7.17,6.09,7.17,14.56,7.81,15.60
5,10.11,6.78,5.68,4.58,0,1.12,10.16,17.71,10.34,11.01,12.44,10.35,11.02,11.01,12.45,10.39,11.06,11.06,10.40,11.06,16.82,11.48,17.73
6,11.22,7.89,6.78,5.68,1.12,0,11.27,18.37,11.43,12.04,13.36,11.44,12.05,12.04,13.37,11.48,12.09,12.09,11.48,12.09,17.52,12.48,18.39
7,1.00,3.50,4.58,5.68,10.16,11.27,0,13.55,1.18,3.35,6.25,1.20,3.38,3.36,6.26,1.56,3.52,3.52,1.57,3.52,12.71,4.69,13.89
8,14.54,14.93,15.22,15.58,17.71,18.37,13.55,0,12.37,10.21,7.33,12.35,10.18,10.20,7.32,12.39,10.23,10.24,12.38,10.23,9.87,10.72,11.35
9,2.18,4.00,4.97,6.00,10.34,11.43,1.18,12.37,0,2.17,5.07,0.02,2.20,2.18,5.08,1.00,2.42,2.41,1.00,2.42,11.88,3.93,13.14
10,4.35,5.49,6.24,7.08,11.01,12.04,3.35,10.21,2.17,0,2.90,2.15,0.03,0.01,2.91,2.37,1.00,1.00,2.36,1.00,10.55,3.28,11.95
11,7.25,7.99,8.52,9.15,12.44,13.36,6.25,7.33,5.07,2.90,0,5.05,2.87,2.89,0.01,5.15,3.04,3.05,5.14,3.04,9.28,4.38,10.84
13,2.20,4.01,4.98,6.01,10.35,11.44,1.20,12.35,0.02,2.15,5.05,0,2.18,2.16,5.06,1.00,2.40,2.39,1.00,2.40,11.87,3.92,13.13
14,4.38,5.51,6.26,7.10,11.02,12.05,3.38,10.18,2.20,0.03,2.87,2.18,0,0.02,2.88,2.40,1.00,1.00,2.39,1.00,10.53,3.28,11.93
16,4.36,5.50,6.24,7.09,11.01,12.04,3.36,10.20,2.18,0.01,2.89,2.16,0.02,0,2.90,2.38,1.00,1.00,2.37,1.00,10.55,3.28,11.94
17,7.26,8.00,8.53,9.16,12.45,13.37,6.26,7.32,5.08,2.91,0.01,5.06,2.88,2.90,0,5.16,3.05,3.06,5.15,3.05,9.27,4.38,10.83
18,2.42,4.13,5.08,6.09,10.39,11.48,1.56,12.39,1.00,2.37,5.15,1.00,2.40,2.38,5.16,0,2.18,2.17,0.01,2.18,11.15,3.13,12.35
19,4.49,5.60,6.34,7.17,11.06,12.09,3.52,10.23,2.42,1.00,3.04,2.40,1.00,1.00,3.05,2.18,0,0.01,2.17,0.00,9.72,2.28,11.07
20,4.48,5.60,6.33,7.17,11.06,12.09,3.52,10.24,2.41,1.00,3.05,2.39,1.00,1.00,3.06,2.17,0.01,0,2.16,0.01,9.73,2.28,11.08
21,2.43,4.14,5.09,6.09,10.40,11.48,1.57,12.38,1.00,2.36,5.14,1.00,2.39,2.37,5.15,0.01,2.17,2.16,0,2.17,11.15,3.13,12.34
22,4.49,5.60,6.34,7.17,11.06,12.09,3.52,10.23,2.42,1.00,3.04,2.40,1.00,1.00,3.05,2.18,0.00,0.01,2.17,0,9.72,2.28,11.07
23,13.45,13.86,14.17,14.56,16.82,17.52,12.71,9.87,11.88,10.55,9.28,11.87,10.53,10.55,9.27,11.15,9.72,9.73,11.15,9.72,0,8.04,1.64
24,5.45,6.40,7.05,7.81,11.48,12.48,4.69,10.72,3.93,3.28,4.38,3.92,3.28,3.28,4.38,3.13,2.28,2.28,3.13,2.28,8.04,0,9.24
28,14.57,14.95,15.24,15.60,17.73,18.39,13.89,11.35,13.14,11.95,10.84,13.13,11.93,11.94,10.83,12.35,11.07,11.08,12.34,11.07,1.64,9.24,0
