Codes WME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0,2,6,4,4,7,7,8,10,8,10,3,3,6,6,8,8,8,8
2,3,0,3,2,2,5,5,7,9,7,9,2,2,4,4,6,6,5,5
3,8,4,0,1,1,2,2,4,7,4,7,4,4,4,4,4,4,5,5
4,6,3,2,0,1,4,5,6,7,7,8,5,6,5,6,5,5,5,5
5,6,3,2,2,0,5,4,7,8,6,7,6,5,6,5,5,5,5,5
6,10,7,3,6,7,0,2,2,4,4,7,4,5,3,4,4,4,6,7
7,10,7,3,7,6,3,0,3,5,2,4,5,4,4,3,5,5,6,4
8,11,10,6,8,10,3,4,0,1,2,3,5,6,2,3,2,1,3,5
9,14,13,10,10,11,6,7,2,0,3,2,7,8,4,5,3,2,3,4
10,11,10,6,10,8,6,3,3,4,0,1,6,5,3,2,4,6,5,3
11,14,13,10,11,10,10,6,4,3,2,0,8,7,5,4,5,4,4,3
12,4,3,6,7,8,6,7,7,10,8,11,0,1,3,4,2,3,3,4
13,4,3,6,8,7,7,6,8,11,7,10,2,0,4,3,3,4,5,3
14,8,6,6,7,8,4,6,3,6,4,7,4,6,0,1,2,3,3,4
15,8,6,6,8,7,6,4,4,7,3,6,6,4,2,0,4,4,3,2
16,11,8,6,7,7,6,7,3,4,6,7,3,4,3,6,0,1,2,3
17,11,8,6,7,7,6,7,2,3,8,6,4,6,4,6,2,0,1,2
18,11,7,7,7,7,8,8,4,4,7,6,4,7,4,4,3,2,0,1
19,11,7,7,7,7,10,6,7,6,4,4,6,4,6,3,4,3,2,0
