,zone_winning,zw_agat_asym,zone_comp,zc_agat_asym,zone_winning_2,zw2_agat_asym,zone_winning_comp,zwc_agat_asym,zone_comp_winning,zcw_agat_asym,zone_comp_comp,zc2_agat_asym
0,2903+2981+2982+2983,0,2901+2902+2904+2905+2906+2907+2908,3,,,,,2902+2904+2905+2906+2907+2908,3,2901,0
1,2903+2908+2982+2981+2903+2983,0,2901+2902+2904+2905+2906+2907,3,,,,,2901+2902+2904+2905+2906+2907,3,,
2,2903+2907+2908+2981+2982+2983,0,2901+2902+2904+2905+2906,2,,,,,2901+2902+2904+2905+2906,2,,
3,2903+2905+2907+2908+2983+2981+2982,0,2901+2902+2904+2906,2,,,,,2902+2904,2,2901+2906,0
4,2906,1,2901+2902+2903+2904+2905+2907+2908+2981+2982+2983,0,,,,,,,,
5,2982,0,2901+2902+2903+2904+2905+2906+2907+2908+2981+2983,7,,,,,,,,
6,2901+2903+2905+2908+2983+2981+2982,0,2902+2904+2906+2907,7,,,,,2902+2904,7,2906+2907,0
7,2904+2905+2906,7,2901+2902+2903+2907+2908+2981+2982+2983,0,2904+2905+2906,7,,,,,,
8,2902+2903+2905+2906+2907+2908+2983,0,2901+2904+2981+2982,7,,,,,,,,
9,2905+2903+2982,18,2901+2902+2904+2906+2907+2908+2981+2983,7,2905+2903+2982,18,,,2901+2981+2902+2904,7,2906+2907+2908+2983,0
10,2901+2902+2903+2907,7,2904+2905+2906+2908+2981+2982+2983,7,,,,,,,,
11,2901+2903+2981+2982,21,2902+2904+2905+2906+2907+2908+2983,7,2901+2903+2981+2982,21,,,,,,
12,2901+2902+2903+2907+2903+2981,21,2904+2905+2906+2908+2982+2983,13,2901+2902+2903+2907+2903+2981,21,,,2904+2905+2906,13,2908+2982+2983,0
13,2903+2904+2905+2906+2907+2908+2982,13,2901+2902+2981+2983,7,2903+2904+2905+2906+2907+2908+2982,13,,,2902+2901+2981,7,2983,0
14,2901+2902+2903+2908+2983+2981+2982,7,2904+2905+2906+2907,13,,,,,2904+2905+2906+2907,13,,
15,2902+2904+2905+2906+2907+2908+2983,7,2901+2903+2981+2982,0,,,,,,,,
16,2901+2902+2904+2903+2981+2982+2983,0,2905+2906+2907+2908,7,,,,,2905+2906+2907+2908,7,,
17,2904+2905+2906,1,2901+2902+2903+2907+2908+2981+2982+2983,0,2904+2905+2906,1,,,,,,
18,2904,2,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
19,2904,7,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
20,2904,7,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
21,2903+2982,7,2901+2902+2904+2905+2906+2907+2908+2981+2983,0,2903+2982,7,,,,,,
22,2903+2904+2905,20,2901+2902+2906+2907+2908+2981+2982+2983,0,2903+2904+2905,20,,,,,,
23,2901+2902+2903+2908+2983+2981+2982,0,2904+2905+2906+2907,7,,,,,2904+2905+2906+2907,7,,
24,2906,7,2901+2902+2903+2904+2905+2907+2908+2981+2982+2983,0,,,,,,,,
25,2901,0,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
26,2901,0,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
27,2901,0,2902+2903+2904+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
28,2901+2981,19,2902+2903+2904+2905+2906+2907+2908+2982+2983,0,2901+2981,19,,,,,,
29,2901+2981,19,2902+2903+2904+2905+2906+2907+2908+2982+2983,0,,,,,,,,
30,2901+2981,19,2902+2903+2904+2905+2906+2907+2908+2982+2983,0,2901+2981,19,,,,,,
31,2901+2981,20,2902+2903+2904+2905+2906+2907+2908+2982+2983,0,2901+2981,20,,,,,,
32,2901+2902+2903+2981+2982,19,2904+2905+2906+2907+2908+2983,7,2901+2902+2903+2981+2982,19,,,2904+2905+2907,7,2906+2908+2983,0
33,2903+2908+2982+2983+2904+2905+2906+2907,21,2901+2902+2981,0,2903+2908+2982+2983+2904+2905+2906+2907,21,,,2902,7,2901+2981,0
34,2903+2904+2905+2906+2907+2908+2982,21,2901+2902+2981+2983,0,2903+2904+2905+2906+2907+2908+2982,21,,,,,,
35,2903+2904+2905+2903+2982+2906+2907,14,2901+2902+2908+2981+2983,7,2903+2904+2905+2903+2982+2906+2907,14,,,2901+2902,7,2908+2981+2983,0
36,2903+2904+2905+2903+2982+2906+2907,14,2901+2902+2908+2981+2983,7,2903+2904+2905+2903+2982+2906+2907,14,,,2902+2901+2981,7,2908+2983,0
37,2904+2905+2906+2907+2908,14,2901+2902+2903+2981+2982+2983,7,2904+2905+2906+2907+2908,14,,,2901+2902+2903+2981+2982+2983,7,,
38,2901+2981+2982+2906+2907+2908,20,2902+2903+2904+2905+2983,7,2901+2981+2982+2906+2907+2908,20,,,2902+2903+2905+2902+2904+2903+2983,7,,0
39,2908+2983,13,2901+2902+2903+2904+2905+2906+2907+2981+2982,21,2908+2983,13,,,2901+2902+2904+2905+2903+2907+2981+2982,21,2906,0
40,2901+2981+2982+2903+2983+2906+2907,7,2902+2904+2905+2908,21,2903+2906+2907+2982+2983,7,2901+2981,0,2902+2904+2905,21,2908,0
41,2902+2904+2905+2903+2908+2982+2983,7,2901+2906+2907+2981,20,,,,,2906+2907,18,2901+2981,0
42,2903+2908+2982+2983+2904+2905+2906+2907,7,2901+2902+2981,21,,,,,2902+2901+2981,21,,0
43,2904,21,2901+2902+2903+2905+2906+2907+2908+2981+2982+2983,0,,,,,,,,
44,2902+2903+2982+2904+2905+2906+2907,0,2901+2908+2981+2983,7,,,,,2908+2983,7,2901+2981,0
45,2901+2902+2903+2981+2906+2907+2908+2982,7,2904+2905+2983,18,,,,,2904+2905,18,2983,0
46,2901+2902+2904+2905+2903+2908+2982+2983,7,2906+2907+2981,18,,,,,2906+2907,18,2981,0
47,2903+2982,18,2901+2902+2904+2905+2906+2907+2908+2981+2983,7,2903+2982,18,,,,,,
